account_id,registration_date,unlock_price,down_payment,down_payment_days_included,daily_rate
11176912,2021-03-18 07:17:17+00,2800000,180000,14,4800
11177772,2021-03-18 08:20:27+00,2240000,280000,7,32666.666688
11178056,2021-03-18 08:37:54+00,2800000,180000,14,4800
11332292,2021-03-31 07:27:50+00,2800000,180000,14,4800
11332468,2021-03-31 07:41:12+00,2800000,180000,14,4800
11333156,2021-03-31 08:41:18+00,2800000,180000,14,4800
11334480,2021-03-31 10:16:57+00,2800000,180000,14,4800
11335900,2021-03-31 11:41:29+00,2800000,180000,14,4800
11335944,2021-03-31 11:43:47+00,2800000,180000,14,4800
11702852,2021-04-28 04:50:52+00,2800000,180000,14,4800
11703124,2021-04-28 06:17:37+00,2800000,180000,14,4800
11704120,2021-04-28 08:30:32+00,2800000,180000,14,4800
11704316,2021-04-28 08:47:49+00,2800000,180000,14,4800
11704612,2021-04-28 09:15:47+00,2800000,180000,14,4800
11706900,2021-04-28 11:42:38+00,2800000,180000,14,4800
13013788,2021-07-23 05:05:58+00,2800000,180000,14,4800
13014352,2021-07-23 06:39:04+00,2140000,412000,14,10285.714272000001
13014520,2021-07-23 06:56:01+00,2800000,180000,14,4800
13014528,2021-07-23 06:56:16+00,2800000,180000,14,4800
13014544,2021-07-23 06:57:29+00,2800000,180000,14,4800
13014608,2021-07-23 07:00:32+00,2800000,180000,14,4800
3072008,2019-02-05 06:15:25+00,2880000,200000,14,4800
3072916,2019-02-05 10:49:36+00,2854800,200000,14,4800
3968360,2019-05-30 05:48:10+00,2880000,200000,14,4800
3968444,2019-05-30 06:08:11+00,2880000,200000,14,4800
3968908,2019-05-30 07:13:41+00,2880000,200000,14,4800
3969196,2019-05-30 08:03:11+00,2880000,200000,14,4800
3969296,2019-05-30 08:14:14+00,2880000,200000,14,4800
3969332,2019-05-30 08:17:48+00,2880000,200000,14,4800
4973704,2019-09-19 05:42:05+00,2480000,200000,14,30466.666656
4973724,2019-09-19 05:48:59+00,2880000,200000,14,4800
4974456,2019-09-19 07:40:05+00,2880000,200000,14,4800
4974792,2019-09-19 08:19:27+00,2855920,200000,14,4800
4975528,2019-09-19 09:23:09+00,2880000,200000,14,4800
4975548,2019-09-19 09:24:48+00,2880000,200000,14,4800
5071748,2019-09-29 04:18:57+00,2880000,200000,14,4800
5072092,2019-09-29 06:17:01+00,2880000,200000,14,4800
5072284,2019-09-29 06:43:47+00,2880000,200000,14,4800
5072512,2019-09-29 07:15:43+00,2880000,200000,14,4800
5072588,2019-09-29 07:25:29+00,2500000,280000,7,4200
5072740,2019-09-29 07:50:48+00,2846400,200000,14,4800
6523364,2020-02-29 06:48:26+00,2800000,180000,14,4800
6523540,2020-02-29 07:15:33+00,2800000,180000,14,4800
6523612,2020-02-29 07:21:21+00,2711800,180000,14,4800
6523720,2020-02-29 07:34:56+00,2800000,180000,14,4800
6524096,2020-02-29 08:17:53+00,2240000,280000,7,32666.666688
6524120,2020-02-29 08:19:11+00,2800000,180000,14,4800
6555412,2020-03-03 05:23:43+00,2800000,180000,14,4800
6555576,2020-03-03 06:22:02+00,2800000,180000,14,4800
6555668,2020-03-03 07:02:16+00,2800000,180000,14,4800
6556096,2020-03-03 08:45:51+00,2800000,180000,14,4800
6557616,2020-03-03 13:12:31+00,2800000,180000,14,4800
7038468,2020-04-19 05:56:00+00,2240000,280000,7,32666.666688
7038636,2020-04-19 06:36:08+00,2800000,180000,14,4800
7038848,2020-04-19 07:11:50+00,2800000,180000,14,4800
7038900,2020-04-19 07:15:45+00,2240000,280000,7,32666.666688
7041356,2020-04-19 10:29:16+00,2800000,180000,14,4800
7041476,2020-04-19 10:34:32+00,2800000,180000,14,4800
11131956,2021-03-14 06:48:35+00,2800000,180000,14,4800
11132608,2021-03-14 07:55:50+00,2800000,180000,14,4800
11136308,2021-03-14 12:52:12+00,2800000,180000,14,4800
11136472,2021-03-14 13:04:01+00,2800000,180000,14,4800
11137768,2021-03-14 14:31:51+00,2800000,180000,14,4800
11140664,2021-03-14 18:19:59+00,2800000,180000,14,4800
13445896,2021-08-19 03:37:21+00,2800000,180000,14,4800
13446072,2021-08-19 04:39:07+00,2800000,180000,14,4800
13446304,2021-08-19 05:17:29+00,2766400,180000,14,4800
13446716,2021-08-19 06:08:44+00,2800000,180000,14,4800
13446888,2021-08-19 06:28:31+00,2240000,280000,7,32666.666688
13447116,2021-08-19 06:51:00+00,2800000,180000,14,4800
3886416,2019-05-22 04:00:00+00,2880000,200000,14,4800
3886832,2019-05-22 06:54:51+00,2880000,200000,14,4800
3887472,2019-05-22 08:12:09+00,2846400,200000,14,4800
3887524,2019-05-22 08:17:07+00,2880000,200000,14,4800
3888692,2019-05-22 10:10:09+00,2880000,200000,14,4800
3889084,2019-05-22 10:42:36+00,2880000,200000,14,4800
3919168,2019-05-25 07:13:39+00,2880000,200000,14,4800
3919492,2019-05-25 07:54:07+00,2745600,200000,14,4800
3919696,2019-05-25 08:13:07+00,2880000,200000,14,4800
3920264,2019-05-25 09:03:03+00,2880000,200000,14,4800
3920492,2019-05-25 09:20:11+00,2880000,200000,14,4800
3920752,2019-05-25 09:38:13+00,2880000,200000,14,4800
4140324,2019-06-15 05:48:04+00,2880000,200000,14,4800
4140404,2019-06-15 06:10:15+00,2577600,200000,14,4800
4140512,2019-06-15 06:33:36+00,2846400,200000,14,4800
4140616,2019-06-15 06:47:31+00,2631360,200000,14,4800
4141480,2019-06-15 08:17:10+00,2880000,200000,14,4800
4141752,2019-06-15 08:48:54+00,2880000,200000,14,4800
4533996,2019-07-30 07:57:28+00,2846400,200000,14,4800
4534192,2019-07-30 09:01:37+00,2880000,200000,14,4800
4534256,2019-07-30 09:13:14+00,2846400,200000,14,4800
4535032,2019-07-30 11:24:27+00,2880000,200000,14,4800
4535104,2019-07-30 11:40:29+00,2880000,200000,14,4800
4535424,2019-07-30 12:36:37+00,2775000,200000,14,4800
5017044,2019-09-23 06:25:25+00,2880000,200000,14,4800
5017120,2019-09-23 06:40:25+00,2480000,280000,7,36666.666624
5017144,2019-09-23 06:44:12+00,2880000,200000,14,4800
5017436,2019-09-23 07:27:41+00,2880000,200000,14,4800
5017500,2019-09-23 07:36:46+00,2880000,200000,14,4800
5017524,2019-09-23 07:38:38+00,2880000,200000,14,4800
7507688,2020-05-24 07:43:43+00,2800000,180000,14,4800
7507796,2020-05-24 07:52:04+00,2681600,180000,14,4800
7508660,2020-05-24 08:58:06+00,2240000,280000,7,32666.666688
7510048,2020-05-24 10:27:51+00,2800000,180000,14,4800
7511624,2020-05-24 11:51:09+00,2800000,180000,14,4800
7513808,2020-05-24 13:51:47+00,2800000,180000,14,4800
7919120,2020-06-22 05:28:42+00,2741200,180000,14,4800
7919964,2020-06-22 07:09:47+00,2800000,180000,14,4800
7920396,2020-06-22 07:47:17+00,2770600,180000,14,4800
7920492,2020-06-22 07:54:46+00,2800000,180000,14,4800
7924272,2020-06-22 11:50:53+00,2800000,180000,14,4800
7925852,2020-06-22 13:06:26+00,2800000,180000,14,4800
8445120,2020-08-25 06:13:49+00,2800000,180000,14,4800
8445168,2020-08-25 06:29:24+00,2240000,280000,7,32666.666688
8445328,2020-08-25 07:25:20+00,2800000,180000,14,4800
8448156,2020-08-25 15:08:25+00,2800000,180000,14,4800
8448284,2020-08-25 15:24:56+00,2800000,180000,14,4800
11817072,2021-05-06 06:17:27+00,2766400,180000,14,4800
11818280,2021-05-06 08:07:39+00,2800000,180000,14,4800
11818804,2021-05-06 08:46:09+00,2240000,280000,7,32666.666688
11819452,2021-05-06 09:30:53+00,2800000,180000,14,4800
11819560,2021-05-06 09:36:38+00,2800000,180000,14,4800
11820256,2021-05-06 10:27:06+00,2800000,180000,14,4800
13463816,2021-08-20 04:54:44+00,2800000,180000,14,4800
13464936,2021-08-20 07:35:16+00,2800000,180000,14,4800
13465100,2021-08-20 07:52:20+00,2774800,180000,14,4800
13465232,2021-08-20 08:02:14+00,2800000,180000,14,4800
13465296,2021-08-20 08:07:47+00,2800000,180000,14,4800
13465468,2021-08-20 08:20:59+00,2632000,180000,14,4800
3616268,2019-04-18 06:08:45+00,2812800,200000,14,4800
3616308,2019-04-18 06:17:06+00,2880000,200000,14,4800
3616796,2019-04-18 08:14:55+00,2850600,200000,14,4800
3617308,2019-04-18 09:16:07+00,2880000,200000,14,4800
3617376,2019-04-18 09:21:05+00,2880000,200000,14,4800
3617428,2019-04-18 09:25:10+00,2880000,200000,14,4800
4725100,2019-08-22 06:37:08+00,2796000,200000,14,4800
4725116,2019-08-22 06:40:43+00,2880000,200000,14,4800
4725424,2019-08-22 07:41:18+00,2820800,200000,14,4800
4726076,2019-08-22 09:10:34+00,2880000,200000,14,4800
4726152,2019-08-22 09:25:16+00,2880000,200000,14,4800
4726564,2019-08-22 10:09:21+00,2800000,180000,14,4800
5396124,2019-11-07 06:15:19+00,2500000,200000,14,4200
5396392,2019-11-07 07:09:38+00,2411800,200000,14,4200
5396552,2019-11-07 07:33:19+00,2500000,200000,14,4200
5398572,2019-11-07 11:12:25+00,2500000,1719200,7,4200
5399264,2019-11-07 12:12:21+00,2500000,200000,14,4200
5399344,2019-11-07 12:19:34+00,2500000,200000,14,4200
6707908,2020-03-16 05:36:07+00,2642640,180000,14,4800
6708204,2020-03-16 06:46:47+00,2240000,280000,7,32666.666688
6708636,2020-03-16 07:49:47+00,2800000,180000,14,4800
6708756,2020-03-16 08:05:06+00,2800000,180000,14,4800
6708760,2020-03-16 08:05:22+00,2800000,180000,14,4800
6711244,2020-03-16 12:03:00+00,2800000,180000,14,4800
7053244,2020-04-20 04:27:45+00,2800000,180000,14,4800
7053408,2020-04-20 05:49:57+00,2800000,180000,14,4800
7054016,2020-04-20 07:44:57+00,2800000,180000,14,4800
7054448,2020-04-20 08:38:51+00,2770600,180000,14,4800
7054728,2020-04-20 09:07:01+00,2800000,180000,14,4800
7054972,2020-04-20 09:26:40+00,2800000,180000,14,4800
7154080,2020-04-28 05:33:31+00,2770600,180000,14,4800
7154636,2020-04-28 07:09:38+00,2800000,180000,14,4800
7156552,2020-04-28 10:02:34+00,2770600,180000,14,4800
7156804,2020-04-28 10:33:00+00,2800000,180000,14,4800
9880952,2020-12-23 07:17:36+00,2800000,180000,14,4800
9881972,2020-12-23 08:55:29+00,2800000,180000,14,4800
9883132,2020-12-23 10:11:23+00,2800000,180000,14,4800
9884192,2020-12-23 11:17:01+00,2800000,180000,14,4800
9884368,2020-12-23 11:27:57+00,2800000,180000,14,4800
9884832,2020-12-23 11:52:46+00,2800000,180000,14,4800
9998404,2020-12-31 03:54:52+00,2800000,180000,14,4800
10000888,2020-12-31 07:54:55+00,2800000,180000,14,4800
10000912,2020-12-31 07:56:27+00,2694000,180000,14,4800
10000936,2020-12-31 07:59:38+00,2800000,180000,14,4800
10001240,2020-12-31 08:22:31+00,2800000,180000,14,4800
10001976,2020-12-31 09:04:27+00,2800000,180000,14,4800
10485620,2021-02-03 08:07:31+00,2800000,180000,14,4800
10486108,2021-02-03 08:45:26+00,2800000,180000,14,4800
10486220,2021-02-03 08:54:09+00,2800000,180000,14,4800
10486508,2021-02-03 09:16:55+00,2800000,180000,14,4800
10486884,2021-02-03 09:45:38+00,2800000,180000,14,4800
10487424,2021-02-03 10:17:13+00,2800000,180000,14,4800
10729240,2021-02-19 05:54:07+00,2800000,180000,14,4800
10730092,2021-02-19 07:17:54+00,2800000,180000,14,4800
10730244,2021-02-19 07:30:16+00,2800000,180000,14,4800
10731272,2021-02-19 08:30:55+00,2800000,180000,14,4800
10731292,2021-02-19 08:32:39+00,2800000,180000,14,4800
10731308,2021-02-19 08:33:26+00,2800000,180000,14,4800
11592280,2021-04-20 10:07:23+00,2800000,180000,14,4800
11593656,2021-04-20 12:36:23+00,2800000,180000,14,4800
11593808,2021-04-20 12:50:34+00,2694000,180000,14,4800
11594104,2021-04-20 13:17:45+00,2774400,180000,14,4800
11594452,2021-04-20 13:50:11+00,2800000,180000,14,4800
11597188,2021-04-20 16:00:13+00,2800000,180000,14,4800
12747212,2021-07-06 06:00:54+00,2800000,180000,14,4800
12747228,2021-07-06 06:07:03+00,2800000,180000,14,4800
12747372,2021-07-06 06:31:21+00,2800000,180000,14,4800
12748164,2021-07-06 08:24:42+00,3486400,420000,14,15000
12748764,2021-07-06 09:37:09+00,2800000,180000,14,4800
12748876,2021-07-06 09:50:22+00,2240000,280000,7,32666.666688
13481856,2021-08-21 06:05:06+00,2240000,280000,7,32666.666688
13482392,2021-08-21 07:01:25+00,2800000,180000,14,4800
13483036,2021-08-21 07:54:49+00,2800000,180000,14,4800
13483284,2021-08-21 08:08:37+00,2800000,180000,14,4800
13484892,2021-08-21 09:37:33+00,2800000,180000,14,4800
13485256,2021-08-21 09:54:36+00,2800000,180000,14,4800
14626056,2021-10-24 04:24:30+00,2800000,180000,14,4800
14626808,2021-10-24 06:40:47+00,2800000,180000,14,4800
14627256,2021-10-24 07:24:22+00,2800000,180000,14,4800
14627872,2021-10-24 08:00:54+00,2800000,180000,14,4800
14628072,2021-10-24 08:11:55+00,2800000,180000,14,4800
14631284,2021-10-24 10:49:34+00,2800000,180000,14,4800
14689516,2021-10-28 06:46:05+00,2800000,180000,14,4800
14689584,2021-10-28 06:53:26+00,2800000,180000,14,4800
14689716,2021-10-28 07:07:33+00,2800000,180000,14,4800
14690832,2021-10-28 08:30:37+00,2800000,180000,14,4800
14691784,2021-10-28 09:19:47+00,2732800,180000,14,4800
14691972,2021-10-28 09:29:44+00,2240000,280000,7,32666.666688
3032244,2019-01-30 06:04:37+00,2695200,200000,14,4800
3032288,2019-01-30 06:12:33+00,2880000,200000,14,4800
3032372,2019-01-30 06:40:20+00,2588800,280000,7,4800
3032504,2019-01-30 07:13:18+00,2880000,200000,14,4800
3032676,2019-01-30 07:42:26+00,2796000,200000,14,4800
3032964,2019-01-30 08:12:14+00,2880000,200000,14,4800
3442600,2019-03-25 05:28:50+00,3188000,200000,14,4800
3442956,2019-03-25 06:54:11+00,2480000,280000,7,36666.666624
3443088,2019-03-25 07:26:05+00,2880000,200000,14,4800
3443248,2019-03-25 07:47:40+00,2480000,280000,7,36666.666624
3443916,2019-03-25 09:27:33+00,2818400,200000,14,4800
3443980,2019-03-25 09:38:00+00,2880000,200000,14,4800
3867276,2019-05-19 06:57:11+00,2880000,200000,14,4800
3867448,2019-05-19 07:21:06+00,2880000,200000,14,4800
3867560,2019-05-19 07:40:34+00,2852000,200000,14,4800
3867572,2019-05-19 07:41:47+00,2771920,200000,14,4800
3867656,2019-05-19 07:52:44+00,2784800,200000,14,4800
3867664,2019-05-19 07:53:59+00,2846400,200000,14,4800
3885420,2019-05-21 16:57:17+00,2703200,200000,14,4800
3885568,2019-05-21 17:13:30+00,2880000,200000,14,4800
5804148,2019-12-22 06:39:15+00,2800000,180000,14,4800
5804280,2019-12-22 06:54:29+00,2800000,180000,14,4800
5805028,2019-12-22 08:18:39+00,2800000,180000,14,4800
5805180,2019-12-22 08:32:04+00,2800000,180000,14,4800
5806016,2019-12-22 09:40:17+00,2800000,180000,14,4800
5808036,2019-12-22 12:28:42+00,2800000,180000,14,4800
6842448,2020-04-02 06:00:35+00,2770600,180000,14,4800
6842608,2020-04-02 06:35:50+00,2717120,180000,14,4800
6842684,2020-04-02 06:56:14+00,2800000,180000,14,4800
6842692,2020-04-02 06:56:46+00,2800000,180000,14,4800
6842904,2020-04-02 07:44:01+00,2770600,180000,14,4800
6842932,2020-04-02 07:52:12+00,2800000,180000,14,4800
9943764,2020-12-27 07:23:02+00,2800000,180000,14,4800
9943772,2020-12-27 07:23:13+00,2748800,180000,14,4800
9944004,2020-12-27 07:38:08+00,3320000,180000,14,5714.28576
9944040,2020-12-27 07:39:41+00,2800000,180000,14,4800
9944344,2020-12-27 07:58:07+00,2800000,180000,14,4800
9944444,2020-12-27 08:04:45+00,2800000,180000,14,4800
11112968,2021-03-13 05:03:44+00,2634800,180000,14,4800
11113004,2021-03-13 05:09:53+00,2800000,180000,14,4800
11113416,2021-03-13 05:56:24+00,2800000,180000,14,4800
11113984,2021-03-13 06:44:45+00,2800000,180000,14,4800
11114020,2021-03-13 06:47:09+00,2800000,180000,14,4800
11114796,2021-03-13 07:36:12+00,2800000,180000,14,4800
12109344,2021-05-26 08:38:24+00,2800000,180000,14,4800
12109788,2021-05-26 09:12:12+00,2800000,180000,14,4800
12111968,2021-05-26 11:28:04+00,2800000,180000,14,4800
12112488,2021-05-26 11:52:40+00,2800000,180000,14,4800
12113696,2021-05-26 12:44:30+00,2800000,180000,14,4800
12115028,2021-05-26 13:43:24+00,2800000,180000,14,4800
14575244,2021-10-21 06:31:35+00,2800000,180000,14,4800
14575324,2021-10-21 06:43:26+00,2800000,180000,14,4800
14575604,2021-10-21 07:20:09+00,1820000,100000,14,4800
14575680,2021-10-21 07:25:29+00,2766400,180000,14,4800
14576252,2021-10-21 08:10:20+00,2800000,180000,14,4800
14576264,2021-10-21 08:11:05+00,2800000,180000,14,4800
15685060,2021-12-26 06:11:56+00,2800000,180000,14,4800
15685200,2021-12-26 06:19:58+00,2800000,180000,14,4800
15686144,2021-12-26 07:26:37+00,1820000,100000,14,4800
15686924,2021-12-26 08:03:41+00,2800000,180000,14,4800
15687588,2021-12-26 08:35:39+00,2774800,180000,14,4800
15687880,2021-12-26 08:48:50+00,2800000,180000,14,4800
2862484,2019-01-01 06:04:53+00,2880000,200000,14,4800
2862756,2019-01-01 07:34:46+00,2880000,200000,14,4800
2862836,2019-01-01 07:49:20+00,2880000,200000,14,4800
2862972,2019-01-01 08:34:27+00,2880000,200000,14,4800
2863056,2019-01-01 08:55:03+00,2480000,280000,7,36666.666624
2863200,2019-01-01 09:45:51+00,2880000,200000,14,4800
3262380,2019-03-02 05:35:04+00,2852000,200000,14,4800
3262420,2019-03-02 05:46:08+00,2852000,200000,14,4800
3262432,2019-03-02 05:49:09+00,2880000,200000,14,4800
3262468,2019-03-02 05:55:46+00,2706400,200000,14,4800
3262548,2019-03-02 06:11:10+00,2880000,200000,14,4800
3262600,2019-03-02 06:17:30+00,2880000,200000,14,4800
4405468,2019-07-14 05:15:28+00,2880000,200000,14,4800
4405640,2019-07-14 06:24:33+00,2880000,200000,14,4800
4405656,2019-07-14 06:29:28+00,3280000,200000,14,4800
4405732,2019-07-14 06:49:40+00,2846400,200000,14,4800
4405828,2019-07-14 07:07:06+00,2846400,200000,14,4800
4405964,2019-07-14 07:23:19+00,2880000,200000,14,4800
5164472,2019-10-10 09:28:48+00,2880000,200000,14,4800
5164548,2019-10-10 09:34:58+00,2880000,200000,14,4800
5164920,2019-10-10 10:09:06+00,2480000,280000,7,36666.666624
5165200,2019-10-10 10:33:47+00,2880000,200000,14,4800
5166200,2019-10-10 11:48:56+00,2880000,200000,14,4800
5166784,2019-10-10 12:39:14+00,2880000,200000,14,4800
5190624,2019-10-13 03:09:35+00,2880000,200000,14,4800
5190676,2019-10-13 04:36:07+00,2500000,200000,14,4200
5190756,2019-10-13 05:23:19+00,2500000,200000,14,4200
5191016,2019-10-13 06:36:26+00,2500000,200000,14,4200
5191060,2019-10-13 06:46:42+00,2500000,280000,7,4200
5191124,2019-10-13 06:56:13+00,2500000,200000,14,4200
5207816,2019-10-15 07:10:27+00,2500000,200000,14,4200
5208020,2019-10-15 08:00:37+00,2880000,200000,14,4800
5209260,2019-10-15 12:02:45+00,2500000,200000,14,4200
5210340,2019-10-15 14:33:25+00,2418520,200000,14,4200
7084260,2020-04-23 05:41:36+00,2694000,180000,14,4800
7084872,2020-04-23 07:40:48+00,2800000,180000,14,4800
7085352,2020-04-23 08:27:29+00,2737000,180000,14,4800
7086068,2020-04-23 09:29:33+00,2770600,180000,14,4800
7088064,2020-04-23 11:38:16+00,2450400,180000,14,4800
7088788,2020-04-23 12:14:14+00,2800000,180000,14,4800
7613824,2020-06-01 05:26:44+00,2800000,180000,14,4800
7613928,2020-06-01 05:58:17+00,2800000,180000,14,4800
7613956,2020-06-01 06:06:55+00,2800000,180000,14,4800
7614124,2020-06-01 06:40:51+00,2800000,180000,14,4800
7614376,2020-06-01 07:23:19+00,2800000,180000,14,4800
7614640,2020-06-01 07:47:38+00,2240000,280000,7,32666.666688
8284648,2020-08-01 05:09:05+00,2770600,180000,14,4800
8284808,2020-08-01 06:17:02+00,2800000,180000,14,4800
8285040,2020-08-01 07:17:04+00,2800000,180000,14,4800
8285104,2020-08-01 07:27:03+00,2800000,180000,14,4800
8285188,2020-08-01 07:36:54+00,2800000,180000,14,4800
8285252,2020-08-01 07:44:46+00,2800000,180000,14,4800
8371444,2020-08-14 05:26:33+00,2800000,180000,14,4800
8371500,2020-08-14 05:57:55+00,2800000,180000,14,4800
8371540,2020-08-14 06:10:26+00,2800000,180000,14,4800
8371576,2020-08-14 06:22:06+00,2800000,180000,14,4800
8371876,2020-08-14 07:19:57+00,2800000,180000,14,4800
8371948,2020-08-14 07:35:08+00,2800000,180000,14,4800
11959584,2021-05-16 05:16:34+00,2800000,180000,14,4800
11959948,2021-05-16 06:23:14+00,2800000,180000,14,4800
11959960,2021-05-16 06:24:44+00,2800000,180000,14,4800
11960068,2021-05-16 06:38:39+00,2766400,180000,14,4800
11961464,2021-05-16 07:31:07+00,2774800,180000,14,4800
11965184,2021-05-16 09:48:39+00,2800000,180000,14,4800
12512704,2021-06-21 07:34:57+00,2800000,180000,14,4800
12512968,2021-06-21 07:58:03+00,2800000,180000,14,4800
12512972,2021-06-21 07:58:36+00,2240000,280000,7,32666.666688
12513064,2021-06-21 08:04:17+00,2800000,180000,14,4800
12513088,2021-06-21 08:06:31+00,2766400,180000,14,4800
12514384,2021-06-21 09:33:10+00,2800000,180000,14,4800
12994740,2021-07-22 07:04:51+00,2800000,180000,14,4800
12995204,2021-07-22 07:31:35+00,2800000,180000,14,4800
12995548,2021-07-22 08:01:13+00,2800000,180000,14,4800
12995972,2021-07-22 08:24:46+00,2800000,180000,14,4800
12996296,2021-07-22 08:45:59+00,2800000,180000,14,4800
